mass,expected_background,expected_signal,expected_total,observed_background,observed_total,luminosity
101.0,0.8948434628453926,2.523524757783081e-55,0.8948434628453926,1,1,0.1
103.0,0.8407369504284319,1.90948819446779e-46,0.8407369504284319,1,3,0.1
105.0,0.7859889590099782,2.4420092604838454e-38,0.7859889590099782,0,0,0.1
107.0,0.7312522466776291,5.278354523040878e-31,0.7312522466776291,0,1,0.1
109.0,0.6771190755854706,1.9282828000132343e-24,0.6771190755854706,0,0,0.1
111.0,0.6241212119540783,1.1905943560556476e-18,0.6241212119540783,0,1,0.1
113.0,0.5727299260705169,1.2424468878663685e-13,0.5727299260706411,1,0,0.1
115.0,0.5233559922883407,2.1913551396598795e-09,0.5233559944796958,0,0,0.1
117.0,0.47634968902759356,6.532337606014062e-06,0.47635622136519956,0,2,0.1
119.0,0.4320007987748083,0.003291132735253617,0.4352919315100619,2,0,0.1
121.0,0.3905386080830071,0.2802483701948091,0.6707869782778162,0,2,0.1
123.0,0.3521319075717021,4.033311029646199,4.385442937217901,1,4,0.1
125.0,0.31688899192689385,9.81072841356876,10.127617405495654,0,11,0.1
127.0,0.2848576599010734,4.033311029646199,4.318168689547272,1,3,0.1
129.0,0.25602521431321995,0.2802483701948091,0.5362735845080291,0,0,0.1
131.0,0.23031846204880302,0.003291132735253617,0.23360959478405663,0,0,0.1
133.0,0.20760371405978106,6.532337606014062e-06,0.20761024639738707,0,0,0.1
135.0,0.18768678536460193,2.1913551396598795e-09,0.18768678755595708,0,0,0.1
137.0,0.17031299504820288,1.2424468878663685e-13,0.17031299504832711,1,0,0.1
139.0,0.15516716626201046,1.1905943560556476e-18,0.15516716626201046,0,0,0.1
141.0,0.1418736262239407,1.9282828000132343e-24,0.1418736262239407,0,0,0.1
143.0,0.1299962062183989,5.278354523040878e-31,0.1299962062183989,0,0,0.1
145.0,0.1190382415962798,2.4420092604838454e-38,0.1190382415962798,0,0,0.1
147.0,0.1084425717749674,1.90948819446779e-46,0.1084425717749674,0,0,0.1
149.0,0.0975915402383351,2.523524757783081e-55,0.0975915402383351,0,0,0.1
151.0,0.08580699453674569,5.6366242290212305e-65,0.08580699453674569,1,0,0.1
153.0,0.07235028628705135,2.1279014840098583e-75,0.07235028628705135,1,1,0.1
155.0,0.05642227117259355,1.357703297629523e-86,0.05642227117259355,0,0,0.1
157.0,0.037163308943203126,1.4641283476106058e-98,0.037163308943203126,0,0,0.1
159.0,0.013653263415200331,2.66854386950443e-111,0.013653263415200331,0,0,0.1
